index,DATE,PRESS,TITLE,CONTENT,URL
0,2020.02.10.,엑스포츠뉴스,"방탄소년단, ‘MAP OF THE SOUL 7’ 콘셉트 포토 공개","방탄소년단이 ‘MAP OF THE SOUL 7’ 콘셉트 포토 첫 번째 버전을 공개했다. 10일 방탄소년단(RM, 진, 슈가, 제이홉, 지민, 뷔, 정국) SNS에는 “#BTS #방탄소년단 #MAP_OF_THE_SOUL_7 Concept Photo version 1”라는 글과 함께 사진이...",http://www.xportsnews.com/?ac=article_view&entry_id=1233391
1,2020.02.10.,화이트페이퍼,"아리아나 그란데, 방탄소년단과 조우...""내가 리허설에서 누구를 마주쳤는지 봐""",공개된 사진에는 아리아나 그란데와 함께 방탄소년단의 모습이 담겨 시선을 사로잡았다. 아리아나 그란데는 방탄소년단 사이에 앉아 입술을 쭉 내밀고 귀여운 표정을 짓고 있다. 방탄소년단 멤버들은 환한...,http://www.whitepaper.co.kr/news/articleView.html?idxno=188902
2,2020.02.10.,뉴스웍스,"방탄소년단(BTS), 엑소·슈퍼주니어 제치고 최고 보이그룹… 무대·아미·스타벅스 키워드 관심"," 보이그룹 브랜드평판 2020년 2월 빅데이터 분석결과, 1위 방탄소년단 2위 엑소 3위 슈퍼주니어 순으로 분석되었다. 한국기업평판연구소는 2020년 1월 6일부터 2020년 2월 7일까지 측정한 보이그룹 브랜드...",http://www.newsworks.co.kr/news/articleView.html?idxno=431442
3,2020.02.10.,매일경제,[기자24시] 라임發 후폭풍에 얼어붙은 벤처투자,방탄소년단(BTS) 소속사인 빅히트엔터테인먼트에 투자하기도 했다. 그만큼 좋은 기업들 지분을 많이 들고 있다는 뜻이다. 그런데 라임이 만들어낸 공포의 연쇄 효과로 알펜루트가 유탄을 맞았다. 메자닌·무역금융 등에...,http://news.mk.co.kr/newsRead.php?no=133724&year=2020
4,2020.02.10.,비즈엔터,"장윤정, 셋째 바라는 남편 도경완에 본인 나이 언급 ""마흔…""","연우는 아픈 엄마를 위해 방탄소년단의 'DNA' 춤을 선보였고, 연우는 ""내가 밖에서 제대로 노래를 부르면 세상은 끝난다. 소문이 다 퍼져서""라고 말해 웃음을 자아냈다. 이날 도경완은 ""하영이가 막내 상이 아니다. 건후도...",http://enter.etoday.co.kr/view/news_view.php?varAtcId=174637
5,2020.02.09.,스포티비뉴스,"'슈돌' 도플갱어네, 첫 찜질방 나들이→아픈 장윤정 웃게한 낭만닥터 DNA[종합S]","연우는 ""제 꿈을 이뤄준 방탄소년단 형들""에게 감사를 전하며 여전히 유쾌한 도플갱어네 분위기를 이어갔다. 한편 문희준은 싱가포르로 가족 여행을 떠났고, 개리는 하오와 미용실에 다녀오며 처음으로 아들과 둘이 보낸...",http://www.spotvnews.co.kr/?mod=news&act=articleView&idxno=343808
6,2020.02.09.,뉴스1,"'슈돌' 개리 아들 하오, 생애 첫 파마 도전…사랑꾼 연우의 고백(종합)","연우는 아픈 엄마를 위해 방탄소년단의 'DNA' 춤을 선보였고, 장윤정이 깜짝 놀라자 ""내가 밖에서 제대로 부르면 세상은 끝난다. 소문이 다 퍼져서""라며 남다른 끼를 발휘했다. 그러면서 수상소감을 준비한 연우는 롤모델...",http://news1.kr/articles/?3837680
7,2020.02.09.,세계일보,"“방탄소년단, 공공예술로 사람들 연결”","현대미술가 협업 프로젝트 ‘눈길’ / 타임·가디언 ‘커넥트, BTS’ 호평 그룹 ‘방탄소년단’(BTS·사진)과 현대 미술가들의 활동에 세계적인 이목이 쏠리고 있다. BTS와 현대미술가들의 협업 프로젝트인 ‘커넥트...",http://www.segye.com/content/html/2020/02/09/20200209507991.html?OutUrl=naver
8,2020.02.09.,쿠키뉴스,"[총선, 도전 이유를 묻다] 진동규 대전 유성갑 예비후보(한국당)","그렇게 한다면 그 곳에서 대화형 실시간 게임을 즐기고, 좋아하는 방탄소년단과 같이 노래를 부를 수도 있다. 네 번째는, 유성의 각종 문화 인프라를 역동적으로 만들고 싶다. 예를 들어, 대전시립박물관의 경우, 활용...",http://www.kukinews.com/news/article.html?no=746726
9,2020.02.09.,KBS 연예,[사장님 귀는 당나귀 귀] 강남 걸뱅이 양치승 관장의 ‘진공청소기’ 면치기 훠궈 먹방,"그룹 방탄소년단 진, 배우 성훈 김우빈 진서연 등 몸짱 연예인들을 맡고 있다. 양치승 트레이너는 ‘당나귀 귀’에서 건강한 몸을 만들기 위한 ‘양관장’ 표 꿀팁과 노하우를 공개할 예정이다. 양치승 트레이너는...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=438&aid=0000027631
